Reporter Name,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,"Korea, Rep.",Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Argentina,0.0,0.4418,0.026000000000000002,0.7756,18.9567,0.0229,0.6723,6.7319,9.0761,1.1573,0.0707,0.7098,0.0088,0.0457,1.3053,2.1537,0.168,0.0212,0.0029,1.185,0.5794,0.2266,0.3137,2.4108,0.7417,0.8393,0.0504,0.042,0.0023,1.9088,4.2298,0.0557,0.0658,0.6734,0.4773,0.1378,1.3852,0.001,0.0274,1.4424,3.9531,0.0656,1.0825,0.7407,1.1629,7.7147
Australia,0.1315,0.0,0.0245,0.6829,0.7125,0.0134,0.6927,0.1538,14.5704,0.0186,0.0367,0.0768,0.0013,0.4741,0.7914,0.828,0.0399,0.0075,0.0025,6.0903,1.9199,0.096,0.1426,0.7602,22.8691,8.2877,0.0048,0.0025,0.0008,0.3026,1.633,4.2104,0.0804,0.0168,0.0114,0.077,0.4997,0.003,0.0086,1.1032,0.3944,0.2832,0.20199999999999999,0.4508,4.1981,5.4504
Austria,0.0988,0.6386,0.0,1.4552,0.5925,0.7677,0.7299,0.0927,1.5987,0.0697,3.7469,0.7244,0.1154,0.5359,3.7560000000000002,29.7092,0.6374,3.5849,0.0225,0.5196,0.1944,0.2291,0.2376,8.5954,0.8542,0.5615,0.12300000000000001,0.1356,0.1114,0.3291,1.7573,0.0771,0.5023,2.7741,0.3159,2.0535,2.5324,2.021,2.1768,0.4313,2.3631,1.1168,4.221,0.8232,3.153,4.4399
Belgium,0.1012,0.3964,0.9979,0.0,0.5828,0.149,0.6567,0.0964,1.0705,0.0591,0.9342,0.8677,0.0795,0.7203,17.4725,19.7525,0.7040000000000001,0.5474,0.0233,1.5597,0.0986,0.6111,0.6994,4.6798,0.6585,0.3737,0.0625,0.1635,1.8822,0.2654,12.2001,0.0479,0.4644,1.6085,0.6195,0.3422,1.1331,0.268,0.165,0.3832,3.2718,1.4140000000000001,1.4167,1.0878,7.209,4.8813
Brazil,8.8943,0.6329,0.1267,2.2341,0.0,0.0997,0.9428,2.4208,8.3472,1.1595,0.034,0.1618,0.018000000000000002,0.223,2.1164,4.4714,0.1677,0.0493,0.0065,0.5569,0.5775,0.1932,0.2014,2.4073,3.089,1.5830000000000002,0.0206,0.031,0.0365,2.1629,5.2958,0.040999999999999995,0.43700000000000006,0.1665,0.8623,0.1978,2.3507,0.0094,0.1498,0.8865,2.0584,0.3155,0.6729999999999999,0.4123,1.9156,14.0115
Bulgaria,0.1287,0.1016,2.0579,5.902,0.2462,0.0,0.2665,0.013000000000000001,0.7209,0.013000000000000001,0.8887,0.2725,0.0345,0.1866,4.0981,9.0985,9.9199,0.937,0.0008,0.3511,0.0916,0.0855,0.2776,8.366,0.1179,0.2147,0.1215,0.1751,0.0307,0.057999999999999996,1.4214,0.0072,0.2382,1.9096,0.1738,7.2543,2.7138,0.677,0.7866,0.0604,2.2415,0.4623,0.5414,8.8049,2.099,1.5596
Canada,0.0552,0.4436,0.0996,0.7090000000000001,0.5337,0.0165,0.0,0.15,2.1687,0.1469,0.0483,0.0885,0.0049,0.2088,0.6712,0.9263,0.0315,0.0493,0.0106,0.501,0.304,0.0964,0.1206,0.4818,2.2968,0.795,0.0102,0.0126,0.0367,1.2108,0.7658,0.0945,0.5845,0.0822,0.044000000000000004,0.0494,0.3099,0.0126,0.015,0.1943,0.2348,0.1191,0.2687,0.2562,2.6926,77.6466
Chile,1.547,0.5286,0.0141,1.2038,6.0039,0.6709999999999999,1.9308,0.0,13.2068,1.1102,0.0162,0.2557,0.0152,0.3555,3.3152,2.6105,0.0331,0.0046,0.0039,2.0808,0.3233,0.1043,0.0794,4.9909,9.8274,5.1402,0.0246,0.02,0.0005,3.3469,6.0261,0.0506,0.0952,0.2853,0.0676,0.0064,0.5334,0.0009,0.0023,0.2187,2.6899,0.5582,0.3636,0.3813,1.0852,12.4841
China,0.3533,1.555,0.1237,1.0394,1.3146,0.0786,1.5234,0.4324,0.0,0.2088,0.3843,0.3892,0.0411,0.5137,1.6425,4.1385,0.2848,0.4261,0.0065,2.2077,1.2017,0.3022,0.2975,1.8613,8.1172,5.1676,0.0593,0.0741,0.2484,0.9692,3.2095,0.1754,0.179,0.6319,0.162,0.20199999999999999,2.3119,0.1374,0.0674,0.6023,1.4551,0.3576,0.2739,0.7413,2.5213,17.6728
Colombia,0.3523,0.0591,0.0091,1.2231,1.7247,0.0188,0.8677,2.256,1.1773,0.0,0.0219,0.305,0.024,0.1692,0.7733,1.6945,0.031,0.0065,0.0005,0.0417,0.0208,0.1721,0.5212,1.0828,0.9875,0.3006,0.0043,0.0032,0.0541,1.6397,1.9995,0.0167,0.0585,0.0763,0.5183,0.0116,0.247,0.0059,0.0744,0.0629,1.6563,0.1454,2.5129,0.4903,1.7982,37.9761
Czech Republic,0.0298,0.2095,4.7381,2.6826,0.2183,0.4902,0.1337,0.0216,0.5322,0.0132,0.0,0.7924,0.1402,0.6367,5.3989,30.7129,0.3626,2.8411,0.0199,0.4346,0.0426,0.2258,0.2474,4.6594,0.3763,0.1858,0.155,0.3317,0.1423,0.1552,3.9322,0.0233,0.42700000000000005,6.4811,0.3351,1.4681,2.73,9.1983,0.5684,0.217,2.2942,1.7695,1.446,0.5479,4.8059,1.7396
Denmark,0.0911,0.6571,0.6878,1.2559,0.364,0.1298,0.915,0.1152,1.7472,0.053,0.5529999999999999,0.0,0.2869,2.3571,3.9555,15.0787,0.6508,0.5473,0.4264,0.3815,0.0616,1.1912,0.1518,2.7231,1.5227,0.6115,0.3067,0.4225,0.0568,0.2376,3.7419,0.1131,5.9601,2.2199,0.3956,0.2398,1.5934,0.2738,0.096,0.1883,2.4241,13.7455,0.7862,0.6827,7.7238,5.011
Estonia,0.0553,0.0992,0.4068,1.0876,0.2658,0.0487,0.5672,0.0031,0.588,0.0085,0.4991,2.9581,0.0,16.7407,1.2356,4.6113,0.1535,0.1856,0.2739,0.1626,0.0251,0.1405,0.0303,1.1272,0.425,0.1163,9.0679,5.1563,0.0289,0.2935,2.0852,0.0095,3.0477,1.7181,0.1081,0.129,15.1134,0.2116,0.0498,0.0165,0.6288,12.5668,0.2914,1.7492,2.4348,5.648
Finland,0.154,0.8793,0.6406,2.4964,0.9233,0.1314,0.7031,0.2253,3.1417,0.1272,0.5351,2.0958,2.1924,0.0,3.4923,10.0025,0.5041,0.5362,0.0662,0.8071,0.2563,0.4585,0.2826,3.2904,1.8013,0.8706,0.6176,0.5807,0.0602,0.2737,5.1414,0.0949,3.0039999999999996,3.2252,0.478,0.2922,11.6164,0.2163,0.1904,0.6632,2.8786,10.0532,0.8675,0.9793,5.4802,6.3251
France,0.2359,0.8349,0.9141,7.6228,0.8738,0.1694,0.7038,0.154,2.2347,0.1376,0.8268,0.7056,0.0632,0.4662,0.0,14.6074,0.9163,0.6936,0.0166,0.825,0.1495,0.6683,0.3185,8.812999999999999,1.3885,0.748,0.0603,0.1199,0.4913,0.5502,4.2275,0.0813,0.4166,1.6664,1.2726,0.6723,1.7433,0.5091,0.2929,0.4077,8.3964,1.3551,2.9749,1.4134,7.857,5.9058
Germany,0.1885,0.6716,5.4939,4.9827,0.8814,0.2794,0.6362,0.1581,3.4587,0.1046,2.7866,1.6101,0.154,0.9758,9.4481,0.0,0.8086,1.7566,0.0401,0.8321,0.1795,0.5594,0.2781,6.266,1.3002,0.8952,0.1428,0.2409,0.4918,0.6936,6.401,0.0766,0.7898,4.0957,0.8216,0.9084,3.3501,0.8843,0.4366,0.7477,4.3163,2.0328,3.9638,1.5461,6.4841,7.2564
Greece,0.027000000000000003,0.4699,0.7407,1.1618,0.2049,6.4801,0.3858,0.0574,0.6364,0.0085,0.6081,0.5982,0.0328,0.626,3.4535,9.6844,0.0,0.5501,0.0066,0.1896,0.1146,0.3217,0.7261,10.245999999999999,0.4208,0.14,0.1014,0.1314,0.0565,0.3993,2.2323,0.0395,0.2295,1.1373,0.6704,3.9379,2.023,0.2392,1.1987,0.2046,2.6032,0.9109,1.2501,4.2694,4.5131,5.2476
Hungary,0.0195,0.1229,4.9013,1.6939,0.1156,1.026,0.2,0.0137,1.0262,0.0117,3.9797,0.7195,0.1333,0.5078,4.688,26.7157,0.6101,0.0,0.0132,0.1358,0.0137,0.4055,0.3156,5.3222,0.4551,0.3385,0.1676,0.2671,0.0934,0.2964,2.8533,0.0147,0.2349,3.9757,0.5254,5.3041,3.5784,4.7176,1.1601,0.2637,2.7827,1.0171,1.2602,1.2507,4.6722,2.2904
Iceland,0.024,0.1128,0.209,1.5452,0.1233,0.0339,0.4715,0.0874,2.2013,0.0076,0.0356,3.1364,0.035,0.214,3.0604,11.3048,0.5282,0.1877,0.0,0.0313,0.0134,0.2892,0.0073,0.7813,4.381,0.2832,0.0333,1.2759,0.081,0.0483,34.3738,0.0549,4.3578,0.7594,1.8832,0.0621,1.3283,0.0361,0.0031,0.1033,3.8258,0.8381,0.9209999999999999,0.0639,11.6071,5.591
India,0.2094,0.7409,0.2783,2.5943,1.7871,0.042,0.7588,0.228,5.5504,0.3141,0.1007,0.3108,0.0267,0.1462,1.6971,3.2526,0.4178,0.1725,0.0075,0.0,1.4623,0.2224,0.8822,2.1994,1.9928,2.0748,0.0268,0.0351,0.0072,0.3763,3.5899,0.1118,0.2315,0.2883,0.2883,0.1824,0.5998,0.0208,0.0878,1.3642,1.4944,0.3179,0.3872,0.8898,3.6278,11.7712
Indonesia,0.1365,3.0003,0.0254,0.986,0.7245,0.0522,0.4711,0.0936,8.4925,0.0815,0.1061,0.1247,0.0176,0.0791,0.7051,1.7991,0.1564,0.0291,0.0011,5.2279,0.0,0.0656,0.0689,1.3872,20.248,6.6536,0.0077,0.0252,0.0046,0.311,2.8656,0.3958,0.042,0.2001,0.0736,0.0572,0.2498,0.028999999999999998,0.0643,0.4556,1.2154,0.0979,0.3076,0.6361,1.1289,9.546
Ireland,0.0347,0.8640000000000001,0.4552,14.1828,0.2121,0.0755,0.4564,0.0405,1.8627,0.033,0.3851,0.6113,0.0547,0.3878,5.8098,7.0484,0.4188,0.2276,0.0298,0.1863,0.0586,0.0,0.2304,3.4801,1.9773,0.5615,0.065,0.0283,0.1682,0.6266,3.5053,0.0777,0.5770000000000001,0.8648,0.488,0.2975,0.3987,0.0808,0.0324,0.3608,4.1552,1.0104,2.9641,0.465,18.3627,19.3009
Israel,0.204,1.1596,0.1625,7.5298,1.9106,0.0915,1.4702,0.1957,2.1086,0.2719,0.2634,0.2725,0.0223,0.2758,2.124,3.1798,0.4905,0.2847,0.0058,3.8496,0.0258,0.1628,0.0,2.7206,1.4393,1.3341,0.0555,0.0692,0.0334,0.5369,3.318,0.1106,0.1233,0.4681,0.1611,0.3757,1.2664,0.0465,0.2038,0.7506,1.8099,0.2964,1.9734,2.6248,3.0853,32.5611
Italy,0.2376,0.7768,2.3731,2.6324,0.8969,0.5195,0.703,0.1432,1.7369999999999999,0.1081,1.0856,0.732,0.0983,0.4615,11.1621,12.7035,2.117,0.9809,0.0251,0.8263,0.166,0.3791,0.4988,0.0,1.1407,0.6974,0.0977,0.2037,0.1255,0.7531,2.3362,0.1017,0.4712,2.6237,0.9671,1.6791,2.8299,0.55,1.0751,0.3824,6.4868,1.0744,3.9135,2.0046,5.2021,6.2121
Japan,0.1276,2.2134,0.1601,1.0853,0.7569,0.018000000000000002,1.3777,0.3519,15.9839,0.1433,0.3872,0.0937,0.0126,0.3009,1.1661,3.0657,0.1555,0.3356,0.0104,1.0104,1.609,0.1634,0.2786,0.8708,0.0,7.6135,0.0083,0.0124,0.0225,1.2732,2.6971,0.3228,0.1698,0.2535,0.098,0.0575,2.1159,0.0595,0.028999999999999998,0.5922,0.5695,0.2812,0.5554,0.3972,2.1069,17.7505
"Korea, Rep.",0.13699999999999998,1.2254,0.1568,0.7663,1.4042,0.0361,0.9614,0.7184,21.656,0.2585,0.1964,0.0968,0.0266,0.5521,0.8727,2.4935,0.3349,0.3585,0.0092,2.1272,1.88,0.1571,0.2388,0.8402,6.6948,0.0,0.033,0.0268,0.0051,2.154,1.5179,0.1954,0.4928,0.9755,0.0974,0.1708,2.3099,0.8205,0.2211,0.3311,0.7565,0.2216,0.0954,0.894,1.4067,11.019
Latvia,0.0247,0.0372,0.4306,0.9931,0.0248,0.1289,0.2224,0.0147,0.2904,0.0104,0.6273,4.5643,14.0369,3.1018,1.8349,8.0933,0.0753,0.3149,0.4369,0.142,0.0259,1.1387,0.1156,1.7206,0.34700000000000003,0.1967,0.0,16.7029,0.0409,0.0136,2.3462,0.0377,2.5735,3.7373,0.0441,0.3541,9.9837,0.4899,0.0655,0.0444,1.4953,6.6238,0.7033,0.1188,3.7635,1.4776
Lithuania,0.1218,0.0861,0.3005,1.6374,0.16699999999999998,0.1688,1.2498,0.008,0.11800000000000001,0.0039,0.723,4.6866,5.7228,1.3652,4.8641,7.1563,0.0728,0.3321,0.1107,1.6799,0.0029,0.2757,0.0879,1.5905,0.0827,0.0421,11.5729,0.0,0.1749,0.3057,3.3941,0.1256,2.0957,5.7907,0.2775,0.22,15.9856,0.1659,0.055,0.0059,1.6459,3.3872,0.9441,0.7172,4.6928,3.2021
Luxembourg,0.0367,0.255,1.5386,13.0592,0.1853,0.1435,0.4581,0.054000000000000006,1.2717,0.0248,1.0339,0.9944,0.085,0.5358,17.0047,26.7188,0.3825,0.5481,0.0278,0.2283,0.0241,0.3048,0.1113,4.8085,0.2796,0.3267,0.0626,0.1252,0.0,0.4135,5.9355,0.0195,0.4049,1.7164,0.363,0.4458,1.1799,0.4542,0.2423,0.1218,2.4092,1.4298,1.3691,0.6737,4.7185,2.4614
Mexico,0.4515,0.2303,0.0156,0.2708,1.1559,0.0067,2.432,0.5448,0.7020000000000001,1.0411,0.0382,0.0333,0.0024,0.1983,0.1823,1.716,0.0104,0.0757,0.0013,0.5353,0.0217,0.0777,0.0762,0.2016,0.7024,0.1846,0.0013,0.0023,0.009000000000000001,0.0,0.8541,0.0196,0.0127,0.0455,0.0432,0.0047,0.0398,0.0025,0.0032,0.0664,1.4533,0.0389,0.2067,0.0225,0.6006,80.2685
Netherlands,0.0736,0.3747,1.3141,11.5989,0.3324,0.1496,0.4658,0.0597,1.0399,0.0707,1.2095,1.3662,0.0965,0.9951,8.74,24.4589,0.8147,0.7355,0.0834,0.4225,0.209,0.8955,0.3412,5.2934,0.795,0.6657,0.1154,0.165,0.3235,0.6197,0.0,0.0527,0.8223,1.9601,0.6641,0.4676,1.7706,0.2883,0.1752,0.384,3.4367,1.7447,1.3369,1.0394,9.0667,4.4505
New Zealand,0.0652,23.3007,0.0642,1.1815,0.2094,0.0117,1.1923,0.2084,5.9062,0.021,0.0297,0.4763,0.0077,0.0664,1.2364,2.0861,0.1452,0.0116,0.0089,1.2676,2.3447,0.1441,0.1213,1.097,8.4237,3.1663,0.0126,0.0264,0.0014,1.0062,1.1867,0.0,0.1612,0.0485,0.0996,0.0087,0.5301,0.001,0.012,0.5849,0.7135,0.1711,0.2084,0.1439,3.8977,10.2196
Norway,0.0288,0.1448,0.5646,2.5378,0.3619,0.0133,2.3425,0.0607,1.1129,0.0249,0.904,3.5875,0.1006,1.4049,9.3714,12.4827,0.3508,0.0484,0.3413,0.3221,0.0414,1.0278,0.043,3.1292,0.8473,0.9449,0.095,0.151,0.0347,0.0891,10.4428,0.0208,0.0,1.3762,0.5797,0.0904,0.616,0.0549,0.0086,0.0808,1.9055,6.247000000000001,0.622,0.2277,27.1459,4.2935
Poland,0.0618,0.1731,1.9589,2.5502,0.2706,0.4392,0.3841,0.0216,0.7439,0.0182,5.7045,1.9399,0.5296,0.8604,6.2074,25.0812,0.5091,2.7879,0.0827,0.1736,0.0332,0.4537,0.1935,5.978,0.2301,0.1807,0.7041,1.6235,0.2459,0.1481,4.0212,0.0133,1.6665,0.0,0.3318,1.5596,5.1887,2.4446,0.3861,0.1889,2.5228,3.1801,0.7281,1.0311,5.7609,1.4377
Portugal,0.0886,0.1317,0.496,2.4619999999999997,0.8173,0.069,0.4457,0.16,0.4538,0.0387,0.4902,0.7181,0.0421,0.626,11.74,12.5788,0.3791,0.3396,0.0101,0.1097,0.0101,0.6012,0.2135,3.6393,0.4257,0.1131,0.045,0.0363,0.1612,0.5697,3.252,0.018000000000000002,0.2683,0.7921,0.0,0.5105,0.4664,0.1348,0.0658,0.1796,27.7746,1.1417,0.7568,0.5121,5.4256,3.383
Romania,0.0811,0.0797,2.2674,1.6395,0.2141,4.1636,0.1302,0.0799,0.479,0.1367,1.5646,0.2192,0.0577,0.1854,7.3808,16.5042,1.8146,5.1084,0.0077,0.6261,0.0268,0.2746,0.4206,15.4602,0.2372,0.2881,0.0519,0.09,0.0354,0.1191,2.8875,0.0061,0.9323,1.9917,0.3455,0.0,1.8121,1.3198,0.4774,0.1612,2.3095,0.6002,0.8919,6.6129,3.2867,1.6925
Russian Federation,0.1582,0.0175,0.4923,0.9869,0.4361,1.0211,0.2008,0.0045,4.5187,0.0136,1.5494,0.3957,0.204,3.372,2.6244,7.0914,0.9243,1.9546,0.0033,1.1178,0.1317,0.0308,0.4346,8.965,2.2285,1.6640000000000001,1.6873,0.9701,0.0025,0.1309,12.1677,0.0011,0.2397,4.3147,0.0448,0.89,0.0,1.3818,0.0662,0.0086,1.0814,0.8798,2.2015,5.9111,3.1848,2.9387
Slovak Republic,0.0529,0.2222,5.7033,1.7873,0.1162,0.5022,0.1913,0.0818,0.8737,0.0189,13.0522,0.8731,0.0895,1.3748,6.7881,20.2006,0.61,6.1654,0.0094,0.1433,0.0192,0.2026,0.0724,5.8872,0.196,0.1265,0.2866,0.2066,0.0558,0.192,3.0333,0.0174,0.2068,6.6044,0.3583,1.8723,3.7797,0.0,0.7759,0.1205,2.4109,1.4907,0.7258,1.3285,4.7548,1.7109999999999999
Slovenia,0.0171,0.1291,7.8417,1.0113,0.1421,0.9038,0.1566,0.0131,0.3458,0.0251,2.4561,0.9096,0.0971,0.2944,6.5267,18.8852,0.4149,3.1151,0.0122,0.2454,0.0273,0.1362,0.1033,12.0885,0.1182,0.0865,0.11699999999999999,0.2749,0.1287,0.1814,1.7352,0.0134,0.2245,3.5039,0.2525,1.7474,4.0641,1.8183,0.0,0.1106,1.3708,0.8909999999999999,0.8534,0.7108,2.385,1.3965
South Africa,0.2043,2.0204,0.2226,2.767,0.8914,0.0416,0.5751,0.0903,5.8267,0.0369,0.1464,0.2559,0.0079,0.1685,1.9566,7.7724,0.2196,0.0819,0.0168,3.0819,0.3732,0.2965,1.1375,2.1566,10.9776,2.0371,0.0049,0.0143,0.1476,0.2487,4.6828,0.1667,0.3028,0.4554,0.4918,0.1544,0.3285,0.0036,0.0605,0.0,2.5374,0.5643,2.1043,0.6719,6.6326,10.7989
Spain,0.3703,0.5479,0.7704,2.9915,0.8673,0.1576,0.4401,0.3232,1.1377,0.2131,0.7796,0.7491,0.0566,0.3111,18.2275,10.5151,1.3653,0.5697,0.0184,0.4061,0.1052,0.4712,0.4088,8.0208,0.7703,0.301,0.0596,0.1461,0.1226,1.4831,3.1374,0.0671,0.5221,1.4355,8.8358,0.5577,1.4992,0.2491,0.2597,0.3426,0.0,0.8661,1.3227,1.5888,7.0717,3.9875
Sweden,0.1197,1.1383,1.0107,4.3497,0.7864,0.1043,0.9296,0.2199,2.1702,0.0785,0.6575,7.3853,0.7425,6.3244,4.9035,10.3782,0.4585,0.4243,0.3357,1.0564,0.4116,0.5151,0.2859,3.1112,1.1033,0.6249,0.3177,0.4158,0.0625,0.5006,5.1101,0.1083,9.5015,2.5186,0.5436,0.25,2.4186,0.198,0.1206,0.8552,2.3113,0.0,0.924,1.0572,7.3341,6.5865
Switzerland,0.1838,0.9848,2.7777,1.9387,1.1152,0.1663,1.1199,0.1021,2.8296,0.1413,0.858,0.6288,0.0481,0.5059,8.6056,19.7003,0.7746,0.5425,0.015,1.1143,0.1878,0.3925,0.5627,8.6904,3.2678,0.9152,0.1026,0.0726,0.1496,0.6033,2.9281,0.10400000000000001,0.4887,1.1329,0.5018,0.4321,1.4724,0.2588,0.2038,0.3589,3.4204,0.8775,0.0,1.1441,5.1468,9.6222
Turkey,0.0811,0.2782,0.7506,1.6076,0.2409,1.6296,0.3798,0.1138,1.0886,0.0565,0.5308,0.7222,0.1816,0.2781,5.0122,9.8099,1.8405,0.5181,0.0084,0.4111,0.2154,0.5029,1.4658,5.9223,0.2503,0.2055,0.079,0.1753,0.0427,0.1153,2.3812,0.0482,0.2963,1.2019,0.4096,3.0202,4.9104,0.2322,0.4913,0.9382,3.0655,0.6959,2.1658,0.0,6.1795,3.2693
United Kingdom,0.1142,1.6465,0.5617,5.0745,0.6235,0.0956,1.4636,0.1052,1.8808,0.0602,0.5856,1.0013,0.0837,0.7221,7.3797,11.1861,0.6313,0.3813,0.0698,1.6143,0.1506,7.2438,0.4945,3.6402,1.4722,0.9279999999999999,0.0657,0.1067,0.0781,0.3274,7.562,0.1391,1.0631,1.1386,0.6213,0.2862,1.6089,0.1733,0.0848,1.1869,3.9199,1.9813,3.1921,0.9640000000000001,0.0,13.5198
United States,0.5799,1.7254,0.2028,2.233,2.5317,0.0392,20.07,0.9303,5.4971,0.88,0.106,0.2086,0.0174,0.2894,2.3039,4.2059,0.1486,0.1101,0.0361,1.436,0.4549,0.6657,1.1144,1.1907,5.1214,2.6776,0.0303,0.064,0.0819,11.6567,3.0941,0.1977,0.2617,0.3178,0.2036,0.0807,0.7182,0.0439,0.0238,0.4996,0.9449,0.3911,1.6924,0.8031,4.1366,0.0
